,Tweet,Class,Encoded_Class
570,وجود چادر تنگ گمان,N,0
571,کادری دھکا چاھیئے,N,0
572,سمارٹ فون عادیوں ڈجٹل ڈیٹاکس کیپ ڈیجیٹل کھلونوں لت مبتلا لوگ علاج,N,0
573,سیتا وایٹ وقوعہ مملکت خداداد پاکستان حدود باہر اسلامی حد لاگو سکتی,N,0
574,شفقت ھن جناب دیناراض مرا ویر,P,2
575,نبی اکرم صلی اللہ علیہ وآلہ وسلم ہزاروں کڑوڑوں درود سلام,P,2
576,نون لیگی جھیلتی عجیب وقت سڑے سڑے,N,0
577,کراچی باپ بیٹے اورسابق ایف ملازم سمیت افراد ہلاک,N,0
578,آج کارٹون لمبی ٹانگ کرکٹر پارلیمنٹ کیلن بولڈ نظر,N,0
579,آج بیس سال عزیز تعلیم سلسلے امریکہ مقیم,P,2
580,دبئی ٹیسٹ پاکستان گرفت مضبوط,N,0
581,ڈیرہ غازی خان تھانا گدائی زیر حراست ملزم مبینہ طور خود آگ دیزخمی ملزم اسپتال منتقل کردیا پولیسAUS1968,N,0
582,راولپنڈی ترقی بجائے تنزلی رفتا ر تیز کرپٹ اشرافیہ بیرون ملک اکاؤنٹس بھررہی جماعت اسلامی,N,0
583,شہدا پکارا کوفردوس بالا خانوں راہ وفا کٹ آے کوپیارہے جانوں 28ذوالحج یوم شھادت محمد عثمان باغائی,P,2
584,نماز فجر چند جنونیوں مسجد سپیکر دہاوا ٹارچر کم شور,N,0
585,منٹو شرمندہ آج دل چاہاکہ ترتیب ٹہیک کردوں امرتا پریتم نچلی شیلف دیکہ آنسو حلق اتارے,N,0
586,السلام علیکم صبح بخیر اللہ تعالی بخشش مانگو شک اللہ تعالی بخشش مہربانی,P,2
587,ٹرین رفتار کلومیٹر فی گھنٹہ منٹ وڈیو ٹرین تقریبا لمبائی ہوسکتی,O,1
588,نیوز چینلز پرائم ٹائم انقلاب اٹھ گیاخطرہ انقلاب روح رواں قبض شکار لہذا وقت اسبغول پی,N,0
589,کرکٹ الف ب پتہ جنونی فائدہ سلیم یوسف,N,0
590,بچے غیر سیاسی,O,1
591,پانچ فیصد دیوبندی تکفیری اقلیت پچھتر فیصد سنی بریلوی صوفی اکثریت خلاف دہشت گردی کب فاروق چشتی,N,0
592,مقروض بگڑے حالات مانندمجبور ہونٹوں پہ سوالات ماننددل چاہت عجب حال,N,0
593,پاکستان لیڈر موت اتی ھے چینل بند دوڑتا ھے آپس بات ھے ن لیگی لیڈر گیدڑ فرق تلاش ناممکن ھے,N,0
594,ساقی محفل کچے جام اچھالیں ڈی چوک ڈیزل نہا چندے انقلاب,P,2
595,بس بھکاریوں توڑ انا کشکول در بام,N,0
596,پروفیسرغلام اعظم شہادتحکومت رویہ درست حمید گلمحسنوں بھولنا بدنصیبی اسلم بیگعوامی لیگ,N,0
597,لوٹ امیدیں ٹوٹ پائی بند پائے بہی در کہنا ملک عدنان احمد سہارا محسوس ریا,N,0
598,مفتی محمود تھاخدا شکر پاکستان بنانے گناہ شامل مفتی صاب مغربی جمہوریت حصہ دار بن کرسرحد وزیر اعلی لگ,P,2
599,دعا ھے نیا اسلامی سال ھمارے ملک کیلئے بہتری مسلمانوں نئے اسلامی سال مبارک,P,2
600,سوال چائے اصلی وطن جواب نمبر پہ,O,1
601,پی مالی بحران شدت اختیار کرگیا,N,0
602,پشاور آب درہ روڈ واقع پلازہ سلنڈر دھماکہ دھماکے خاتون سمیت 2ا فراد زخمی,N,0
603,بکھری تری زلف شانہ مٹی ملا حریفوں تدابیر وادی کشمیر,N,0
604,دیکھ ہمیں چپ چاپ گزر شخص پیار,P,2
605,ر بچے سکول موجودگی یقینی بنانے ریاست تعلیمی معاملات نمٹنے نئی قوت ساتھ عزم یقینی,P,2
606,پاک ایران گیس پائپ لائن امریکا پابندی عائد کررکھی وزیر پٹرولیم,N,0
607,+ سوشل میڈیا پرختم نبوت کام بہتر منظم انداز جاسکے ساتھی کل کانفرنس شرکت لازمی بنائیں چناب نگر کانفرنس,P,2
608,انقلاب کدھر اک شہر آباد اجڑ,N,0
609,ملک انصاف ملتا حق بول بالا ملک نقصان اہل انصاف,N,0
610,ناچ گانے پاکستان چاہیے بیٹی اچہا ناچتی راناخطابت ٹہمکے ساتھ ساتھ شرمیلا,N,0
611,تئیس اکتوبر عوامی تحریک جلسے ایبٹ آبادجاؤں گاطاہر القادری,P,2
612,لاہور محرم سیکیورٹی کیلئے انتظامات حتمی شکل,N,0
613,آج قادری صاحب عمران خان مایوس ڈیل نتیجے دھرنا ختم فیصلے کئی,N,0
614,انصافیوں ٹرینڈ احوال اوریجنل ٹرینڈ = ریٹویٹس = ریپلائیز =,O,1
615,آسٹریلیا کیخلاف سال اننگز سینجریاں اسکور,P,2
616,مسجد ریپ امام سال قیدصرف بیس مزید پڑھیں,N,0
617,لاہورنان روٹی مقررہ قیمتوں فروخت یقینی بنا انتظامیہ,P,2
618,جہلمتحریک إنصفاف سونامی لہریں سولہ نومبر جہلم ٹکرایں,N,0
619,جنگلا بس بنانی ملتان پینے صاف پانی جنگلا بس بنانی ملتان ساری سڑکیں,N,0
620,ھم شھزاد کوروتے ھیں سیانہ بیانہ معین خان سیلفیاں لیتاھے,N,0
621,کوہلی انوشکا کب شادی کررہے عامر خان فکر لاحق ہوگئی via,N,0
622,سکو بتانا دور بس ڈھونڈھتا پھرا,N,0
623,لاہور مدعیہ پسند شادی بیان برقرار,P,2
624,بجلی قیمتوں اضافہ واپس,P,2
625,سر جی,P,2
626,گلی پھرتا ھے رات بھر گلے نیند تعویز ھوئے,N,0
627,ایم کیو ایم دھمکی آمیز خطوط بھیجے نما ایم کیوایم آصف حسنین,N,0
628,ٹھرکی یاد کہاں آجکل,N,0
629,حسان ریاض جیت رہاحسان ریاض جیت مبارک مبارک مبارک,P,2
630,انکو,O,1
631,لاہور رانا ثنااللہ نوٹس پنجاب اسمبلی سیکرٹریٹ پتے بھجوا دیاگیا,N,0
632,فرشتہ بھیڑیا طاہر القادی کتنے بکے ورثا دیت,N,0
633,رقم پہر خاں صاحب بات,N,0
634,خلیفہ ہارون رشید,P,2
635,یونس خان آسٹریلیا خلاف ٹیسٹ سنچریاں سکور کرنیوالے چالیس سال کھلاڑی بن,N,0
636,سانحہ ہزارہ ملزموں جلد از جلد گرفتار عبدالمالک بلوچ,N,0
637,حضرت عمر اکثر عمر اونٹ چلانے آج اسلام کہاں پہنچا,P,2
638,سوت دھاگے ٹوٹ تھاوہ چرخہ گھمائے یاد,N,0
639,ویسے بیمارکا علا ج جاتاھے مردے کانھیں نورے زرداری علاج نھیں ھو مر چکے ھیں تدفین باقی ھے,N,0
640,پشاور یونیورسٹی روڈ السیدپلازہ قریب دھماکا,N,0
641,مولانا صاحب عزت لوگ والد صاحب وجہ کل مدرسوں کئی سوالات اٹھ سکتے,P,2
642,رفاقتیں بھولے بغیر لمحہ سوگوار ھوتا,N,0
643,سمجھ آرہی مولویوں نبی کریمﷺ وارث سمجھتے لوگآی عقل ٹھکانے,N,0
644,سعودی عرب القاعدہ حمایت خواتین سزائیں,N,0
645,محترم محترمہ خوش آمدید ویلکمجی آیاں نوں فالو یو بیک ایز ریٹرن محبت,P,2
646,اسم گرامی عمر لقب فاروق کنیت ابو حفص سیدنا عمر نسب مبارک نویں پشت سیدنا محمد ﷺ ملتا سیدنا عمر,P,2
647,پارلیمنٹ صوبائی اسمبلیاں وفاقی صوبائی حکومتیں عوام پریشانیوں معاشرے بدترین ٹوٹ پھوٹ خبر,N,0
648,اکتوبر گجرات جلسہ حلقہ عوام بھرپور شرکت چوہدری زبیر احمد ٹانڈہ,P,2
649,بات ٹھیک سکتی کوی خاتون صحیح حقیقت حال واضح سکتی شکریہ,P,2
650,پوچھا زندگی ہنس دئیے پھول رو پڑی شبنم,N,0
651,نئی نظریاتی ونگ سہرا آزادی مارچ کامیابی نظریاتی,P,2
652,لاہورشہرمیں مردہ جانوروں گوشت فروخت انکشاف فروخت ہونیوالےگوشت مردہ گھوڑے اورگدھے گوشت شامل,N,0
653,لاہور پیپر ری چیکننگ چار ہزار پانچ درخواستیں موصول لاہور بورڈ,N,0
654,پی ٹی آئ الیکشن ضمنی ھونے پانچ فی صد ٹرن آوٹ ھوگا ھونگے,N,0
655,ڈرتا دیکھ دل آرزو سنسان گھر ہومہمان,N,0
656,دیکہی نذریں اتاریاں سارے جہاں اچہی آنکہیں تمہاریاں,P,2
657,راولپنڈیفتح جنگ قریب مسافروین ٹینکر ٹکر بچے جاں بحقدس افراد زخمی زخمیوں چار خواتین شامل زخمی تحصیل ہیڈ کوارٹر اسپتال منتقل,P,2
658,لاہور جاں بحق رانا اشرف ورثاء لاش سڑک رکھ احتجاج شروع کردیا,N,0
659,اللہ وے ماہی تیرا پیار دل اوداسی نی جاندی,N,0
660,کراچی گیارہویں آرٹس ریگولر پرائیویٹ نتائج اعلان,P,2
661,ڈیزل ڈیزل کپتان ڈیزل,N,0
662,دن خچروں ہیروں درمیاں کھڑا جاوے,N,0
663,پاکستان آسٹریلیا ٹیسٹ سیریز قبل بین الاقوامی کرکٹ کونسل ٹیسٹ رینکنگ جاری کردی,P,2
664,جادو بہری آنکھوں سنو دیکھا,P,2
665,تنگ چکے کشمکش زندگی ہمٹھکرا جہاں کہیں دلی,N,0
666,سال عمر بھٹو پہلی مرطبہ منظر عام جنرل ایوب خان حکومت وزیر پٹرولیم بن محنت,N,0
667,پاکستان تشدد پسندیبے حسی دوسروں تکلیف دیکھ خوش رجحان بیماریوں اضافہ ھو رھا افسوس انسان,N,0
668,آخری سرحد سوچ,N,0
669,غازی تربیلہ اسکول بجلی تار گرگیا 11طلبہ جھلس کرزخمی,N,0
670,مضبوط کرپٹ مافیا بگاڑ بس اللہ ملک عوام پہ رحم فرمائے آمین,N,0
671,چیچہ وطنی حکام عدم توجہی امراض قلب یونٹ تالے پڑ,N,0
672,خواب دیکھنے کرومنیر نیازی,N,0
673,عالم پناہ جان شکر,P,2
674,یونس خان ریکارڈ ساز سنچری آسٹریلیا دبئی ٹیسٹ جیتنے رنز ہدف درکار,P,2
675,توکیاوہ کوہرجرم سزا گاپھراپنے رحم کرم ثبوت گامیں روز حشر قائل ھوں ہنستا ھوں بندہ خدا حساب,N,0
676,سالا چار اوورز وکٹ گرے میچ بورنگ بورنگ لگنا شروع,N,0
677,مقامی سیشن کورٹ نواز گھمن سکنہ ڈھک,N,0
678,ایم کیو ایم سندھ حکومت آزاد کشمیر حکومت علیدگی علان فاروق ستار,N,0
679,ٹریفک بہاؤ خلل پیدا انسٹھ تجاوزات قائم سات مقدمات درج کرائے,N,0
680,ایدھی سنٹر ڈاکے مرکزی ملزم سابق ملازم نکلا,N,0
681,اسکا حل,N,0
682,ھاھاھاھا سمجھاوش یو گڈ لک یور فریڈم,P,2
683,حضرت ڈی جے بٹ لبے بالاں سرکار مقبرھ ادھر بنے,N,0
684,کتنے خوش نصیب لوگ اللہ رب کائنات ماہ محرم نواسہ رسول امام حسین علیہ السلام ذکر ذکر سننے چن,P,2
685,اللہ ملک محسن عمران خان کامیابی عطا فرما کبہی مخلوق جہکاہمیں اسکا ساتھ توفیق عطافرما,P,2
686,رقص پاؤں زنجیر دیکھشاہ,N,0
687,لاہور وزیر اعلی نوٹس داد رسی مظاہرین,P,2
688,طاہر القادری صاحب ہاشمی بنیاد انکشافات کب شروع,N,0
689,جدو جہد جہاں ھو مقدرات حکومت ھیں فرمان خلیفہ,N,0
690,پیتل بالیوں بیٹی بیاھ باپ کام سونے کان,N,0
691,انقلاب واسطہ چھوٹے چھوٹے دھرنے چندے انقلاب,N,0
692,حاضرین یاسین ملک یادوں کھو کرآبدیدہ,N,0
693,مقصد چھوٹی موٹی ڈیزل چوری جائز,N,0
694,بات ھے پی پی ٹی آئ جیتے لکھوا لوگ کہتے ھیں حجروں گھروں ھم سنتے ھیں,P,2
695,کراچی حیدرآباد ایم کیو ایم مظبوط اسکی وجہ پیپلز پارٹی بیڈ گورننس اربن سندھ نظر انداز,N,0
696,دور جاہلیت ابو جہل انکا اصلاح واسطہ انکو سرداری عزیز,N,0
697,گھنٹے بجلی,P,2
698,حلقہ بندیوں الیکشن کمیشن موجودہ ممبران مستعفی ہوجائیں گھیراؤ جاسکتا u,N,0
699,کراچی پاکستان بنایا پاکستان ہجرت خواجہ اظہار الحسن,P,2
700,تورات ھی بتادیا برا ھوگا براھوگاپاکستان 72ٹیسٹ,N,0
701,سرجی مسکین لوگ آں ڈان کتھوں,N,0
702,تھر بچے بھوک پیاس مر کہتے سندھ ڈیسوں,N,0
703,سالا چوتیا,N,0
704,لاہورپسند شادی لڑکیاں حالات سمجھتیں جسٹس قاسم خان,N,0
705,کام بارے سوچنا چھوڑ سکتے کام پایہ تکمیل پہنچانے کیلئے کوشش چھوڑیئے,N,0
706,بھول ھیں عمل نھی بات,N,0
707,دیکھے ہنگام محبت آغاز رسوائی انجام رسوائی,N,0
708,آج ملنگی اداس,N,0
709,مجاہد اعظم مولانا غلام اعظم جوانی بڑھا پے صبر عزمیت مسلسل جدوجہد تاریخ رقم,P,2
710,خطا آدمی ملا,N,0
711,حملوں خوفزدہ حملہ آور نو مسلم واچ لسٹ کینیڈین وزیر اعظم,N,0
712,گناہ انسانی روح زہر درجہ,N,0
713,ہلکی غذا سوپ پیو,P,2
714,پرواہی برباد,N,0
715,بادام بیش بہا فوائد حامل جسمانی دماغی قوت قوت حافظہ اضافہ دماغ آنکھوں بہترین,P,2
716,لاہور اجلاس صدارت خواجہ حسان,O,1
717,سر جیبائیس توپوں سلامی ھے عقل اتنے تجربے ملکی نقصانعمر حصے بحدآگئی آپکے بقولقوم احسان ھے,N,0
718,چشم فتنہ گر ساقیء میخانہ برسوں سےکہ باہم لڑ شیشہ پیمانہ برسوں سےاقبال سہیل,N,0
719,پتھرو اوقات ھے کیااس شخص دل اف توبہ,N,0
720,آگیا ماہ محرم بچھ فرش عزا عرش انسو بہانے آگئی فاطمہ ع شیئر کمینٹ,P,2
721,حجر اسودوہ سیاہ پتھر بیت اللہ جنوب مشرق دروازے بائیں کونے باہر نصب پتھر جنت زمین,P,2
722,جذبات واقف قلمدھرنہ لکھوں ڈرامہ لکھا,P,2
723,عزیزوں نشے لعنت بچائیں,P,2
724,نئے بجلی میٹرز حوالے خبریں بنیاد وزیر اعظم معائنہ کمیشن,N,0
725,ڈالر کمال جناب,P,2
726,چہرے پہ کئی چہرے سجا لوگ,N,0
727,فلسفہ محبت تقریب رونمائی براہ راست نشر,N,0
728,بجلی نرخوں اضافہ نگران حکومت خواجہ آصفتب وزیر بجلی مصدق بات پرمیاں ساب کوبہت پسندآئے آج مشیرشریف,N,0
729,BBC Urdu ایشیا قدیم محمد ن سپورٹنگ کلب مشکلات,N,0
730,اہتمام علماء انوکا اجتماع سنی شیعہبریلوی دیوبند اہلحدیث مکاتب فکرکے علماء چھت نیچے جمع1 جگہ باجماعت نمازکی ادائیگی,P,2
731,عشق روگ مار ھیں,N,0
732,یاسرٹھیک ھے ذوالفقار پلے ایجڈ ھے فاسٹ بالروں کاتواللہ ھی حافظ ھے,N,0
733,مہدی روحانی آیی ایس المصطفی یونٹ گمبہ سکردو کا34 واں صدر منتخب,P,2
734,ہوگا اسطرح حسن شباب ریت گلشن بتول تہے سارے گلاب ریت عشق لٹائیے عشق بچائیے آل نبی لکھا سارا نصاب ریت,P,2
735,سر جی ترجمہ,O,1
736,بس پڑوس ملک جاننے کافی,P,2
737,گلی گلی نگر نگر عمر عمر سیدنا عمر فاروق رضی اللہ تعالی عنہگلی گلی نگر نگر عمر عمر سیدنا عمر فاروق رضی اللہ تعالی عنہ,P,2
738,کپتان صاحب چندہ خدا اتنا بتا کتنے اسکول بنائے کہاں پہنچا چندے انقلاب,O,1
739,دبئی ٹیسٹ پاکستان آسٹریلیا رنز ہدف اسٹریلیا رنز بنا نقصان,P,2
740,لاہور ہسپتال غریبوں مفت علاج ہوگا,P,2
741,یزید وکا لت حسین نجات سفینہ نظر آتاہے چہرہ کربلا بس اک آئینہ,P,2
742,امریکہ انگریز سنگر پاکستان حق اردو زبان گانا پاکستانیوں دل جیت,P,2
743,عمران نیازی روبوٹس ڈکشنری الگ ٹرم معنی رائج ڈکشنریوں الگ,N,0
744,ساڈے پینڈوواں دیاں مانواں شہر وچ وی پرانے طریقے نئیں چھڈدیاں چھج نال گندم صاف پسوانی,P,2
745,مطالبہ ائینی خالد مقبول صدیقی,P,2
746,ڈانگ بردار پشتون انصافی وارننگ شاٹسکے باوجود جتنے دھرنامکینوں بات ہوسکی افراد چندہ اکھٹاکرنے جوش روزی کمانے بیزارتھے,N,0
747,پہر بہائی مجہے DM بتا جاننا چاہتا,P,2
748,دعا خوبصورت عمل مانگنے پریشانیاں مشکلات,P,2
749,ہاہاہاہانا یار اگلی دفعہ کوشش لینا p,P,2
750,وگوں دھرنے چندہ مانگنے کنال بنیگالہ گھر پیج دھرنے خرچے پورے,N,0
751,ڈیزل ڈیزل کردی وے آپے ڈیزل ہوئ سدو وے مینوں ڈیزل خان عمران آکھے کوئ,N,0
752,لفافہ ھے چیز جہان تگ پہناتا ھے شرم تاج سر دارااقبال معذرت ساتھ,N,0
753,رسول اللہ فرمایاتم پہلی امتوں لوگ فرشتے باتیں تہے امت ہوتاتووہ عمرہوتے,P,2
754,بچوں تعداد ھے چار بتادو کھو زکوات کھانی بند کردے ٹیسٹ کرواکے بتاؤ عمران نشئی نھیں,N,0
755,فضا گرایا امریکی اسلحہ دولتاسلامیہ ہاتھ لگ رپورٹ,N,0
756,ملول دل آئینہ اک خراش بعدجو پاش پاش اک خراش,P,2
757,سپریم کورٹ حلقہ پی پی تین بتیس بورے رکن پنجاب اسمبلی یوسف کیسال رکنیت بحال,P,2
758,طارق بن زیاد آج زندہ عمران خان اتناضرور کہتے بیٹا کشتیاں جلانے اورلڑکیاںنچانے فرق,N,0
759,طارق بن زیاد آج زندہ عمران خان اتنا ضرور کہتے بیٹا کشتیاں جلانے اورلڑکیاں نچانے,N,0
760,ملک جاری سیاسی صورتحال نتیجے کراچی اسٹاک ایکس چینج کاروباری ہفتے دوران ا,N,0
761,لاہورملاقات وفاقی اورصوبائی کابینہ ممکنہ ردوبدل پرتبادلہ خیال,P,2
762,پیپلز پارٹی جانب الطاف حسین خلاف تضحیک آمیز رویہ اپنایا مزید پڑھئے,N,0
763,خودکشی حرام توبہ توبہ,N,0
764,کوئ امکان ملنے بات جی چاہتا ھے,P,2
765,بات وزن,P,2
766,اکثر کہتی اکثر کہتی تھیوفا ذات عورت مرد درد تے,N,0
767,انقلاب نامی کیڑا بر صغیر پایا دنیا بھر انقلاب تر انقلابوں کیڑا,N,0
768,لالے جان کشکول ہاتھ خلیفہ کہیں کہیں,P,2
769,ملک لسانیت عصبیت خاتمے ضروری نئے صوبوں تقسیم نسل لسان بنیاد انتظامی بنیادوں تقسیم کیاجائے,P,2
770,ہاشم ویلفیئر سوسائٹی رجسٹرڈ پنڈی ہاشم ایدھی سنٹر کراچی ڈکیتی دلیرانہ,N,0
771,حکومت سیاسی قائدین کوتحفظ ناکام ہوچکی شیریں مزاری,N,0
772,فلمی ستارے علماے کرام خدمات شخصیت متاثر از خود کھنچے چلے,P,2
773,قائد انقلاب ڈاکٹر محمد طاہر القادری محاذ بدلا منزل,P,2
774,ررلٹ دیکھ ابو نےصرف اتنا کہافرازبگ بوس چاہتے گھرسے وقت دفعہہوجائیں DVia,N,0
775,پنج پیر اجتماع براہ راست دیکھنے کیلے تصویری جھلکیوں کیلے فیس بک کاوزٹ,P,2
776,بنگلہ دیش سیاسی پارٹی جماعت اسلامی سابق سربراہ غلام اعظم انتقال,N,0
777,بات توجہ ذی الحج مھینہ کتنے دن پاکستان امید ھے تکلیف نھیں ھوگی,P,2
778,اوئے ے ے ے ڈڈو ھمارے گھر لڑائی پڑوانے,N,0
779,RT شیری مزاری پاکستان تیل کھداٴں ی ناگن ڈانس چندے انقلاب,P,2
780,= اسلام آباد مشرف کیخلافغداری کیس سماعت بغیرکارروای 29اکتوبرتک ملتوی کردی گئ,N,0
781,وھ تہی دست خوب کہانی گر تھاباتوں باتوں چاند,P,2
782,خیبر ایجنسیباڑہ سپاہ شدت پسندوں ٹھکانوں ہیلی کاپٹرز شیلنگ,N,0
783,بریکنگ نیوز ٹویٹر جلن جیالے پٹواریوں غیر آئینی قبضہ رایوینڈ بلاول ہاؤس مٹھائیاں تقسیم,P,2
784,چلو مہاجر چلتے دکھہ ں ختم پھلتے کلیم الطافی,P,2
785,ڈاکٹر طاہر القادری جانب دھرنا اچانک ختم اعلان اندرکی کہانیتفصیل لنک,P,2
786,پٹواری پوچھتے دھرنوں عوام فائدہ پہنچ,P,2
787,دہشتگردی جاں بحق گریڈ کیلیے لاکھ گریڈ لاکھ روپے امداد ملے وزیر اعظم میاں محمد نواز شریف,P,2
788,ویلے انکار بچپن اساں یار گللاں چنگیاں تے ہندکو پوٹھوہاری سمجھنے خاص,N,0
789,ویسے زندگی موت اللہ ہاتھ بلٹ پروف گاڑی داد بہی زیادتی ہوگیآج یہودیوں بنائی,N,0
790,شرم لوگ نام,N,0
791,اج پرابلم ٹیوٹر ٹھیک اپڈیٹ ھورہاٹیوٹر,N,0
792,آج کوئٹہ جمہوریت گاڑی حملہ گاڑی بلٹ پروف وجہ جمہوریت بچ P,N,0
793,حکمران اچھائی توقع سود اپنوں نواز تے غریب عوام بھاڑ بلا,N,0
794,اللہ رب العزت ذکر کیجیے سکون قلب حاصل کیجیے سبحان اللہ الحمد للہ اللہ أکبرلاالہ الا اللہ لاحول ولاقوۃ الا باللہ,P,2
795,سیکیورٹی خدشہعمران خان کنٹینر پیچھے کنٹینر رکھ,P,2
796,تے چاچے قادری نوں ایویں ای چھڈ,P,2
797,انقلاب پھٹے نوٹ بطور چندہ چل چندے انقلاب,P,2
798,خواجہ سرا آصف شرم,N,0
799,قادری عمران دھرنا چٹخارے دار چاٹ مصالحہ مکس,N,0
800,بات بات قسمیں کھا جھوٹ بولنے حوس اقتدار مارا لیڈر,N,0
801,پاکستانی کرکٹ ٹیم آج آسٹریلیا ساتھ آفریدی میچوں میچ,N,0
802,چندے انقلاب سوچ سات توپوں سلامی,P,2
803,عابدشرلی شرلی دھماکہ کم بدبو پھیلاتی,N,0
804,لاہور دھرنوں اورجلسوں قوم آگاہی شعور پیدا کیاچودھری پرویز الہی,P,2
805,علاقے دل عزیز معروف شخصیت,P,2
806,گہرے ہلکے ہلکے گہرے چھاے شام ساے دھیرے دھیرے ہولے ہولے دل دھڑکن گاے پروا سنگ سنگ گونجے بن بن کوئل,P,2
807,بات محرم چاند کہتا سال بھر مرا دل کربلا,P,2
808,درد دل لوگ دھرنے شامل ھونے تمنا دوست دھرنے ختم ھونے افسرد ہ ھیں بساط,N,0
809,پاکستان مسلم لیگ ن روشن پاکستان نشان,P,2
810,حالات مطابق فیصلے لینا پڑتے عوامی تحریک سرمایا داروں جماعت انا خاطر اتنے ریسورسز,N,0
811,منوں ڈیزل تھوڑا پوا نچاں ساری رات ٹنکی فل کرا نچاں ساری رات,P,2
812,بسم اللہ الرحمن الرحیم السلام علیکم آج جمعہ مبارک = ذوالحج= اکتوبر = کاتک = 2071مطیع اللہ راشد,P,2
813,خوبصورت نظم یاروں مبارک عمرابن خطاب خدا مانگا دعاؤں جواب سیدنا عمر فاروق رضی اللہ تعالی عنہ,P,2
814,پانی سر اونچا ہوچکا بات ناقابل واپسی پہنچی فاروق ستار,N,0
815,سندھ پیپلز پارٹی شان دار کارکردگی کب ہمیں زندہ لوگوں احساس,P,2
816,آج آپکو راز بتائے ھوں ڈیچوک انقلابی بابا موجود میڈیا لاعلم رہااس ڈرامہ,P,2
817,خورشید شاہ توہین رسالت توہین صحابہ مرتکب تھانہ سکھیکی منڈی ضلع حافظ آبادمیں درخواست جمع,N,0
818,ویسے مشن مینوں نوٹ ویکھا موڈ بنے کھان قادری,P,2
819,ڈاکٹر طاہر القادری دھرنے کیلیے فنڈز جمع کیلیے بیرون ملک فیصلہ عمران خان دھرنے کیلیے عوام فنڈ اپیل,N,0
820,خدمت جذبہ ساتھمل کام انشاء اللہ آج کل بھیہمارا انشاء اللہ,P,2
821,عطا اللہ بندہ نواز صبح محتاج رحمتوں نزول دعاء پینڈو,P,2
822,آفریدی زیر قیادت ڈی پیز پاک فوج درمیان نمائشی میچ جاری,P,2
823,پاکستان سکور وکٹ نقصان پاکستان رنز مجموعی برتریاحمد شہزاد اوریونس خان ناٹ آؤٹ,P,2
824,درست غصہ ہوش گنوا,N,0
825,قومی اسمبلی دوہری شہریت الیکشن لڑنے اجازت بل پیش جنوبی پنجاب الگ صوبہ بنانے مسترد,P,2
826,سندھ ایم کیو ایم آزاد کشمیر حکومت الگ گئیوقت ایم کیو ایم برطانوی حکومت الگ اعلان کردے,N,0
827,لاہور میٹرو بس آمدن کروڑ روپے اخراجات 2ارب کروڑ روپے نقصان ارب کروڑ روپے حکومتی اعدادوشمار,N,0
828,سزا ملے احساس ھوتا ھے وقت ھے مبشر گناھوں قوم اللہ معافی مانگے,P,2
829,افسوس معاشرھ بحث الجھا ھے ویسے بتادوں ایڈوانٹیج خاتون ھونے,N,0
830,پشاور پولیو مہم7 لاکھ زائد بچوں پولیو قطرے پلائے پشاورپشاور پولیو مہم,P,2
831,چندہ تبدیلی لاؤں چندہ تبدیلی لاؤں چندے انقلاب,P,2
832,سات سمندر پار پیچھے پیچھے آگیا,P,2
833,پتا تازہ ترین قرآنی تحقیق پتہ اللہ مخلوق خالق وجود تخت,P,2
834,لاہور ایبولا وائرس نمٹنے پنجاب تیاریاں شروع,P,2
835,امریکی ڈانسرز بلند عمارت لٹک رقص,P,2
836,عہدوں معاملہمعین خان پی بی درمیان سرد جنگ,N,0
837,بسم اللہ الرحمن الرحیم السلام علیکمآج بدھ = ذوالحج = اکتوبر = کاتک = 2071مطیع اللہ راشد,P,2
838,مٹھی غذائی قلت بچے جاں بحق مزید پڑھئے,N,0
839,ٹہیک ناچیں,P,2
840,سرزمین شام ولولے آج ابن قاسم فسانوں کھوگے ھیں نبی ﷺ امت تن رستا خون پوچھتا,N,0
841,لاہورضلعی انتظامیہ رنگ روڈ بادامی باغ قریب چھاپا فروخت ہونیوالےگوشت مردہ گھوڑے اورگدھے گوشت شامل,N,0
842,دفعہ اللہ شخص پیغام بول ٹویٹ اندرونی تذبذب رفع اسوقت خلجان مبتلا,P,2
843,میرپورخاص سیال کالونی معمولی تنازع فائرنگ نوجوان امتیاز ناریجو جانبحق ہوگیا,N,0
844,کتے خواہشیں گلی کتوں ڈر بھاگو پیچھے پڑ بھونک بھونک,N,0
845,ذہنی غلام کہتے,N,0
846,آقا علیہ السلام مکہ دعوت حکمت عملی مدینہ ہجرت جانا,P,2
847,کشمیری برسوں بھارتی فوج مظالم برداشت کررہے انکے جذبہ حریت کمزوری حافظ محمد سعید,N,0
848,اللہ مع الصابرین گیدڑ سال زندگی شیر دن زندگی بہتر,P,2
849,پیپلز پارٹی رویے باعث صوبے جماعت بن فاروق ستار,N,0
850,سعودیہ عرب ٹریفک حادثہ پاکستانی جاں بحق ہوگئے,N,0
851,مزیدار کھانا کھانے بل منگوایا پیسے نکالنے کیلئے جیب ہاتھ بٹوا پا نادیدہ خوف,N,0
852,عمران خان لوگوں سیاست کیلئے سیاست گالی عمران خان پنجاب مقبولیت بڑھی,P,2
853,جنگی ساز سامان قبضے ویڈیو تحقیقات امریکہ محکمۂ دفاع دولت اسل,N,0
854,وزیر اعظم استعفی دھرنا ختم عمران مزید پڑھیئے,P,2
855,+ آسٹریلیا انڈیا دوسرے ملکوں بیٹھ روز شوشہ چھوڑ ملک محنت ضرورت,P,2
